Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
Mica,1,304,471,9871.000000,1,1,1,64.998,41.952,0.000
Mica,1,314,469,12752.000000,1,1,1,64.722,43.332,0.000
Mica,1,279,476,8946.000000,1,1,1,65.688,38.502,0.000
Mica,1,269,488,9061.000000,1,1,1,67.344,37.122,0.000
Mica,1,268,506,7690.000000,1,1,1,69.828,36.984,0.000
Mica,1,258,457,11521.000000,1,1,1,63.066,35.604,0.000
Mica,1,271,458,5103.000000,1,1,1,63.204,37.398,0.000
Mica,1,273,445,6702.000000,1,1,1,61.410,37.674,0.000
Mica,1,259,413,10138.000000,1,1,1,56.994,35.742,0.000
Mica,1,277,393,9682.000000,1,1,1,54.234,38.226,0.000
Mica,1,278,364,9401.000000,1,1,1,50.232,38.364,0.000
Mica,1,274,353,9846.000000,1,1,1,48.714,37.812,0.000
Mica,1,286,347,9983.000000,1,1,1,47.886,39.468,0.000
Mica,1,317,429,8569.000000,1,1,1,59.202,43.746,0.000
Mica,1,333,423,9571.000000,1,1,1,58.374,45.954,0.000
Mica,1,335,394,9722.000000,1,1,1,54.372,46.230,0.000
Mica,1,415,366,9645.000000,1,1,1,50.508,57.270,0.000
Mica,1,366,385,11382.000000,1,1,1,53.130,50.508,0.000
Mica,1,350,429,9509.000000,1,1,1,59.202,48.300,0.000
Mica,1,367,445,6853.000000,1,1,1,61.410,50.646,0.000
Mica,1,387,456,8593.000000,1,1,1,62.928,53.406,0.000
Mica,1,384,429,9922.000000,1,1,1,59.202,52.992,0.000
Mica,1,404,427,8482.000000,1,1,1,58.926,55.752,0.000
Mica,1,408,399,6839.000000,1,1,1,55.062,56.304,0.000
Mica,1,411,394,8229.000000,1,1,1,54.372,56.718,0.000
Mica,1,384,404,9967.000000,1,1,1,55.752,52.992,0.000
Mica,1,412,361,9244.000000,1,1,1,49.818,56.856,0.000
Mica,1,454,403,9311.000000,1,1,1,55.614,62.652,0.000
Mica,1,486,385,9913.000000,1,1,1,53.130,67.068,0.000
Mica,1,466,427,9215.000000,1,1,1,58.926,64.308,0.000
Mica,1,731,68,8839.000000,1,1,1,9.384,100.878,0.000
Mica,1,686,12,8334.000000,1,1,1,1.656,94.668,0.000
Mica,1,657,18,9580.000000,1,1,1,2.484,90.666,0.000
Mica,1,636,20,7503.000000,1,1,1,2.760,87.768,0.000
Mica,1,638,28,9490.000000,1,1,1,3.864,88.044,0.000
Mica,1,608,39,8672.000000,1,1,1,5.382,83.904,0.000
Mica,1,618,50,7566.000000,1,1,1,6.900,85.284,0.000
Mica,1,605,4,9090.000000,1,1,1,0.552,83.490,0.000
Mica,1,626,70,5996.000000,1,1,1,9.660,86.388,0.000
Mica,1,550,96,9728.000000,1,1,1,13.248,75.900,0.000
Mica,1,527,97,9514.000000,1,1,1,13.386,72.726,0.000
Mica,1,520,59,9619.000000,1,1,1,8.142,71.760,0.000
Mica,1,629,116,7412.000000,1,1,1,16.008,86.802,0.000
Mica,1,674,132,8980.000000,1,1,1,18.216,93.012,0.000
Mica,1,742,138,7993.000000,1,1,1,19.044,102.396,0.000
Mica,1,746,158,8535.000000,1,1,1,21.804,102.948,0.000
Mica,1,733,170,9575.000000,1,1,1,23.460,101.154,0.000
Mica,1,707,216,8113.000000,1,1,1,29.808,97.566,0.000
Mica,1,747,236,8430.000000,1,1,1,32.568,103.086,0.000
Mica,1,726,200,7826.000000,1,1,1,27.600,100.188,0.000
Mica,1,676,236,8561.000000,1,1,1,32.568,93.288,0.000
Mica,1,671,215,7355.000000,1,1,1,29.670,92.598,0.000
Mica,1,658,217,7712.000000,1,1,1,29.946,90.804,0.000
Mica,1,662,175,9236.000000,1,1,1,24.150,91.356,0.000
Mica,1,640,181,8844.000000,1,1,1,24.978,88.320,0.000
Mica,1,678,158,9446.000000,1,1,1,21.804,93.564,0.000
Mica,1,610,196,9396.000000,1,1,1,27.048,84.180,0.000
Mica,1,572,207,9160.000000,1,1,1,28.566,78.936,0.000
Mica,1,557,206,8689.000000,1,1,1,28.428,76.866,0.000
Mica,1,565,196,9724.000000,1,1,1,27.048,77.970,0.000
Mica,1,537,195,6804.000000,1,1,1,26.910,74.106,0.000
Mica,1,530,166,7877.000000,1,1,1,22.908,73.140,0.000
Mica,1,577,168,9604.000000,1,1,1,23.184,79.626,0.000
Mica,1,478,338,14748.000000,1,1,1,46.644,65.964,0.000
Mica,1,584,324,7532.000000,1,1,1,44.712,80.592,0.000
Mica,1,610,311,7385.000000,1,1,1,42.918,84.180,0.000
Mica,1,612,329,9301.000000,1,1,1,45.402,84.456,0.000
Mica,1,626,331,9346.000000,1,1,1,45.678,86.388,0.000
Mica,1,681,319,5634.000000,1,1,1,44.022,93.978,0.000
Mica,1,690,330,6287.000000,1,1,1,45.540,95.220,0.000
Mica,1,454,251,8123.000000,1,1,1,34.638,62.652,0.000
Mica,1,448,236,7646.000000,1,1,1,32.568,61.824,0.000
Mica,1,419,243,9958.000000,1,1,1,33.534,57.822,0.000
Mica,1,398,264,7764.000000,1,1,1,36.432,54.924,0.000
Mica,1,403,297,9636.000000,1,1,1,40.986,55.614,0.000
Mica,1,388,303,9560.000000,1,1,1,41.814,53.544,0.000
Mica,1,371,296,7962.000000,1,1,1,40.848,51.198,0.000
Mica,1,370,313,9961.000000,1,1,1,43.194,51.060,0.000
Mica,1,359,316,9654.000000,1,1,1,43.608,49.542,0.000
Mica,1,332,322,9651.000000,1,1,1,44.436,45.816,0.000
Mica,1,294,318,6848.000000,1,1,1,43.884,40.572,0.000
Mica,1,310,279,6411.000000,1,1,1,38.502,42.780,0.000
Mica,1,312,258,9218.000000,1,1,1,35.604,43.056,0.000
Mica,1,306,225,8531.000000,1,1,1,31.050,42.228,0.000
Mica,1,274,259,10048.000000,1,1,1,35.742,37.812,0.000
Mica,1,290,175,5924.000000,1,1,1,24.150,40.020,0.000
Mica,1,311,162,9857.000000,1,1,1,22.356,42.918,0.000
Mica,1,319,208,9185.000000,1,1,1,28.704,44.022,0.000
Mica,1,365,198,8703.000000,1,1,1,27.324,50.370,0.000
Mica,1,352,163,6322.000000,1,1,1,22.494,48.576,0.000
